Channel,Theta,Alpha,Lowbeta,Highbeta,Gamma
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,588.8385383,1002.008753,143.9251969,503.5703621,611.7680412
Pz,266.8495861,341.7335713,204.4866161,265.411937,282.2620513
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,588.8385383,1002.008753,143.9251969,503.5703621,611.7680412
Pz,266.8495861,341.7335713,204.4866161,265.411937,282.2620513
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,588.8385383,1002.008753,143.9251969,503.5703621,611.7680412
Pz,266.8495861,341.7335713,204.4866161,265.411937,282.2620513
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,588.8385383,1002.008753,143.9251969,503.5703621,611.7680412
Pz,266.8495861,341.7335713,204.4866161,265.411937,282.2620513
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,864.9796161,484.255086,323.5979747,262.3849926,308.3451155
Pz,537.9279793,317.4343429,77.94499888,201.9618159,84.38949333
T8,642.4226955,377.0591617,360.9395888,362.0061232,224.6512381
AF4,587.8125103,528.2647097,300.5730845,308.3715543,152.645182
AF3,678.1513986,369.5400516,539.0372229,241.0738433,327.1370854
T7,864.9796161,484.255086,323.5979747,262.3849926,308.3451155
Pz,537.9279793,317.4343429,77.94499888,201.9618159,84.38949333
T8,642.4226955,377.0591617,360.9395888,362.0061232,224.6512381
AF4,587.8125103,528.2647097,300.5730845,308.3715543,152.645182
AF3,678.1513986,369.5400516,539.0372229,241.0738433,327.1370854
T7,864.9796161,484.255086,323.5979747,262.3849926,308.3451155
Pz,537.9279793,317.4343429,77.94499888,201.9618159,84.38949333
T8,642.4226955,377.0591617,360.9395888,362.0061232,224.6512381
AF4,587.8125103,528.2647097,300.5730845,308.3715543,152.645182
AF3,678.1513986,369.5400516,539.0372229,241.0738433,327.1370854
T7,864.9796161,484.255086,323.5979747,262.3849926,308.3451155
Pz,537.9279793,317.4343429,77.94499888,201.9618159,84.38949333
T8,642.4226955,377.0591617,360.9395888,362.0061232,224.6512381
AF4,587.8125103,528.2647097,300.5730845,308.3715543,152.645182
AF3,678.1513986,369.5400516,539.0372229,241.0738433,327.1370854
T7,864.9796161,484.255086,323.5979747,262.3849926,308.3451155
Pz,537.9279793,317.4343429,77.94499888,201.9618159,84.38949333
T8,642.4226955,377.0591617,360.9395888,362.0061232,224.6512381
AF4,587.8125103,528.2647097,300.5730845,308.3715543,152.645182
AF3,678.1513986,369.5400516,539.0372229,241.0738433,327.1370854
T7,864.9796161,484.255086,323.5979747,262.3849926,308.3451155
Pz,537.9279793,317.4343429,77.94499888,201.9618159,84.38949333
T8,642.4226955,377.0591617,360.9395888,362.0061232,224.6512381
AF4,587.8125103,528.2647097,300.5730845,308.3715543,152.645182
AF3,678.1513986,369.5400516,539.0372229,241.0738433,327.1370854
T7,864.9796161,484.255086,323.5979747,262.3849926,308.3451155
Pz,537.9279793,317.4343429,77.94499888,201.9618159,84.38949333
T8,642.4226955,377.0591617,360.9395888,362.0061232,224.6512381
AF4,587.8125103,528.2647097,300.5730845,308.3715543,152.645182
AF3,678.1513986,369.5400516,539.0372229,241.0738433,327.1370854
T7,864.9796161,484.255086,323.5979747,262.3849926,308.3451155
Pz,537.9279793,317.4343429,77.94499888,201.9618159,84.38949333
