Channel,Theta,Alpha,Lowbeta,Highbeta,Gamma
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,860.2628717,1141.657852,1500.77659,253.1519956,188.717561
T7,828.501249,1257.070135,952.7488334,197.8659821,181.8838517
Pz,385.6418919,712.3952286,654.4666545,129.7534009,77.47070265
T8,760.7856496,1049.412193,1216.027397,238.9914627,201.5229552
AF4,628.4677259,1094.501181,1285.555104,285.9813324,243.2069972
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
AF4,956.6226068,776.522446,852.5060644,677.4804002,320.5534783
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
AF4,956.6226068,776.522446,852.5060644,677.4804002,320.5534783
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
AF4,956.6226068,776.522446,852.5060644,677.4804002,320.5534783
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
AF4,956.6226068,776.522446,852.5060644,677.4804002,320.5534783
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
AF4,956.6226068,776.522446,852.5060644,677.4804002,320.5534783
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
AF4,956.6226068,776.522446,852.5060644,677.4804002,320.5534783
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
AF4,956.6226068,776.522446,852.5060644,677.4804002,320.5534783
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
AF4,956.6226068,776.522446,852.5060644,677.4804002,320.5534783
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
AF4,956.6226068,776.522446,852.5060644,677.4804002,320.5534783
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
AF4,956.6226068,776.522446,852.5060644,677.4804002,320.5534783
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
AF4,956.6226068,776.522446,852.5060644,677.4804002,320.5534783
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
AF4,956.6226068,776.522446,852.5060644,677.4804002,320.5534783
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
AF4,956.6226068,776.522446,852.5060644,677.4804002,320.5534783
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
AF4,956.6226068,776.522446,852.5060644,677.4804002,320.5534783
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
AF4,956.6226068,776.522446,852.5060644,677.4804002,320.5534783
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
AF4,956.6226068,776.522446,852.5060644,677.4804002,320.5534783
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
AF4,956.6226068,776.522446,852.5060644,677.4804002,320.5534783
AF3,492.5299528,393.0393986,782.4945252,631.6673059,300.5000077
T7,1164.369591,730.7938634,759.2869963,520.3130442,284.9824659
Pz,264.1028476,532.0125654,279.7937242,356.9529512,155.6783957
T8,344.9744599,754.8455031,669.8923167,806.4610668,305.6517865
