Channel , Theta ,Alpha ,Low beta ,High beta , Gamma 
AF3,227.33705608926454,131.02075080050793,897.459468368547,157.6691200465715,465.51583862265994,
T7,735.0730452875088,309.0302967948079,1170.1092279278198,184.90085201247877,567.7339771373531,
Pz,132.71139347176796,93.30362225914989,137.73204302816274,113.79315456493295,202.68409339324774,
T8,293.5974106861174,660.6492775796452,630.1714312353571,277.748129820927,382.75979576254383,
AF4,641.7100452194202,208.44763386034495,531.6146644768698,301.7917930128411,335.90256722117556,
AF3,227.33705608926454,131.02075080050793,897.459468368547,157.6691200465715,465.51583862265994,
T7,735.0730452875088,309.0302967948079,1170.1092279278198,184.90085201247877,567.7339771373531,
Pz,132.71139347176796,93.30362225914989,137.73204302816274,113.79315456493295,202.68409339324774,
T8,293.5974106861174,660.6492775796452,630.1714312353571,277.748129820927,382.75979576254383,
AF4,641.7100452194202,208.44763386034495,531.6146644768698,301.7917930128411,335.90256722117556,
AF3,227.33705608926454,131.02075080050793,897.459468368547,157.6691200465715,465.51583862265994,
T7,735.0730452875088,309.0302967948079,1170.1092279278198,184.90085201247877,567.7339771373531,
Pz,132.71139347176796,93.30362225914989,137.73204302816274,113.79315456493295,202.68409339324774,
T8,293.5974106861174,660.6492775796452,630.1714312353571,277.748129820927,382.75979576254383,
AF4,641.7100452194202,208.44763386034495,531.6146644768698,301.7917930128411,335.90256722117556,
AF3,227.33705608926454,131.02075080050793,897.459468368547,157.6691200465715,465.51583862265994,
T7,735.0730452875088,309.0302967948079,1170.1092279278198,184.90085201247877,567.7339771373531,
Pz,132.71139347176796,93.30362225914989,137.73204302816274,113.79315456493295,202.68409339324774,
T8,293.5974106861174,660.6492775796452,630.1714312353571,277.748129820927,382.75979576254383,
AF4,641.7100452194202,208.44763386034495,531.6146644768698,301.7917930128411,335.90256722117556,
AF3,227.33705608926454,131.02075080050793,897.459468368547,157.6691200465715,465.51583862265994,
T7,735.0730452875088,309.0302967948079,1170.1092279278198,184.90085201247877,567.7339771373531,
Pz,132.71139347176796,93.30362225914989,137.73204302816274,113.79315456493295,202.68409339324774,
T8,293.5974106861174,660.6492775796452,630.1714312353571,277.748129820927,382.75979576254383,
AF4,641.7100452194202,208.44763386034495,531.6146644768698,301.7917930128411,335.90256722117556,
AF3,227.33705608926454,131.02075080050793,897.459468368547,157.6691200465715,465.51583862265994,
T7,735.0730452875088,309.0302967948079,1170.1092279278198,184.90085201247877,567.7339771373531,
Pz,132.71139347176796,93.30362225914989,137.73204302816274,113.79315456493295,202.68409339324774,
T8,293.5974106861174,660.6492775796452,630.1714312353571,277.748129820927,382.75979576254383,
AF4,641.7100452194202,208.44763386034495,531.6146644768698,301.7917930128411,335.90256722117556,
AF3,227.33705608926454,131.02075080050793,897.459468368547,157.6691200465715,465.51583862265994,
T7,735.0730452875088,309.0302967948079,1170.1092279278198,184.90085201247877,567.7339771373531,
Pz,132.71139347176796,93.30362225914989,137.73204302816274,113.79315456493295,202.68409339324774,
T8,293.5974106861174,660.6492775796452,630.1714312353571,277.748129820927,382.75979576254383,
AF4,641.7100452194202,208.44763386034495,531.6146644768698,301.7917930128411,335.90256722117556,
AF3,227.33705608926454,131.02075080050793,897.459468368547,157.6691200465715,465.51583862265994,
T7,735.0730452875088,309.0302967948079,1170.1092279278198,184.90085201247877,567.7339771373531,
Pz,132.71139347176796,93.30362225914989,137.73204302816274,113.79315456493295,202.68409339324774,
T8,293.5974106861174,660.6492775796452,630.1714312353571,277.748129820927,382.75979576254383,
AF4,641.7100452194202,208.44763386034495,531.6146644768698,301.7917930128411,335.90256722117556,
AF3,227.33705608926454,131.02075080050793,897.459468368547,157.6691200465715,465.51583862265994,
