Channel , Theta ,Alpha ,Low beta ,High beta , Gamma 
AF3,432.45513870273317,325.6071170537559,319.1877180786475,229.33406464550157,378.3561629276616,
T7,240.3429381914201,408.48946002018573,487.2645238957153,257.9117535054135,299.71251052026616,
Pz,141.56911661358063,357.6110335494953,110.60464655096415,115.12056015988006,185.62864260109822,
T8,427.1645397736036,500.8555643084908,313.8885212787734,180.72697824046227,496.78981939549163,
AF4,249.00770950702477,130.14457741131184,245.62016495867954,287.85080524991025,395.90938241711564,
AF3,432.45513870273317,325.6071170537559,319.1877180786475,229.33406464550157,378.3561629276616,
T7,240.3429381914201,408.48946002018573,487.2645238957153,257.9117535054135,299.71251052026616,
Pz,141.56911661358063,357.6110335494953,110.60464655096415,115.12056015988006,185.62864260109822,
T8,427.1645397736036,500.8555643084908,313.8885212787734,180.72697824046227,496.78981939549163,
AF4,249.00770950702477,130.14457741131184,245.62016495867954,287.85080524991025,395.90938241711564,
AF3,432.45513870273317,325.6071170537559,319.1877180786475,229.33406464550157,378.3561629276616,
T7,240.3429381914201,408.48946002018573,487.2645238957153,257.9117535054135,299.71251052026616,
Pz,141.56911661358063,357.6110335494953,110.60464655096415,115.12056015988006,185.62864260109822,
T8,427.1645397736036,500.8555643084908,313.8885212787734,180.72697824046227,496.78981939549163,
AF4,249.00770950702477,130.14457741131184,245.62016495867954,287.85080524991025,395.90938241711564,
AF3,432.45513870273317,325.6071170537559,319.1877180786475,229.33406464550157,378.3561629276616,
T7,240.3429381914201,408.48946002018573,487.2645238957153,257.9117535054135,299.71251052026616,
Pz,141.56911661358063,357.6110335494953,110.60464655096415,115.12056015988006,185.62864260109822,
T8,427.1645397736036,500.8555643084908,313.8885212787734,180.72697824046227,496.78981939549163,
AF4,249.00770950702477,130.14457741131184,245.62016495867954,287.85080524991025,395.90938241711564,
AF3,432.45513870273317,325.6071170537559,319.1877180786475,229.33406464550157,378.3561629276616,
T7,240.3429381914201,408.48946002018573,487.2645238957153,257.9117535054135,299.71251052026616,
Pz,141.56911661358063,357.6110335494953,110.60464655096415,115.12056015988006,185.62864260109822,
T8,427.1645397736036,500.8555643084908,313.8885212787734,180.72697824046227,496.78981939549163,
AF4,249.00770950702477,130.14457741131184,245.62016495867954,287.85080524991025,395.90938241711564,
AF3,432.45513870273317,325.6071170537559,319.1877180786475,229.33406464550157,378.3561629276616,
T7,240.3429381914201,408.48946002018573,487.2645238957153,257.9117535054135,299.71251052026616,
Pz,141.56911661358063,357.6110335494953,110.60464655096415,115.12056015988006,185.62864260109822,
T8,427.1645397736036,500.8555643084908,313.8885212787734,180.72697824046227,496.78981939549163,
AF4,249.00770950702477,130.14457741131184,245.62016495867954,287.85080524991025,395.90938241711564,
AF3,432.45513870273317,325.6071170537559,319.1877180786475,229.33406464550157,378.3561629276616,
T7,240.3429381914201,408.48946002018573,487.2645238957153,257.9117535054135,299.71251052026616,
Pz,141.56911661358063,357.6110335494953,110.60464655096415,115.12056015988006,185.62864260109822,
T8,427.1645397736036,500.8555643084908,313.8885212787734,180.72697824046227,496.78981939549163,
AF4,249.00770950702477,130.14457741131184,245.62016495867954,287.85080524991025,395.90938241711564,
AF3,432.45513870273317,325.6071170537559,319.1877180786475,229.33406464550157,378.3561629276616,
T7,240.3429381914201,408.48946002018573,487.2645238957153,257.9117535054135,299.71251052026616,
Pz,141.56911661358063,357.6110335494953,110.60464655096415,115.12056015988006,185.62864260109822,
T8,427.1645397736036,500.8555643084908,313.8885212787734,180.72697824046227,496.78981939549163,
AF4,249.00770950702477,130.14457741131184,245.62016495867954,287.85080524991025,395.90938241711564,
AF3,432.45513870273317,325.6071170537559,319.1877180786475,229.33406464550157,378.3561629276616,
T7,240.3429381914201,408.48946002018573,487.2645238957153,257.9117535054135,299.71251052026616,
Pz,141.56911661358063,357.6110335494953,110.60464655096415,115.12056015988006,185.62864260109822,
T8,427.1645397736036,500.8555643084908,313.8885212787734,180.72697824046227,496.78981939549163,
AF4,249.00770950702477,130.14457741131184,245.62016495867954,287.85080524991025,395.90938241711564,
AF3,432.45513870273317,325.6071170537559,319.1877180786475,229.33406464550157,378.3561629276616,
T7,240.3429381914201,408.48946002018573,487.2645238957153,257.9117535054135,299.71251052026616,
Pz,141.56911661358063,357.6110335494953,110.60464655096415,115.12056015988006,185.62864260109822,
T8,427.1645397736036,500.8555643084908,313.8885212787734,180.72697824046227,496.78981939549163,
AF4,249.00770950702477,130.14457741131184,245.62016495867954,287.85080524991025,395.90938241711564,
AF3,432.45513870273317,325.6071170537559,319.1877180786475,229.33406464550157,378.3561629276616,
T7,240.3429381914201,408.48946002018573,487.2645238957153,257.9117535054135,299.71251052026616,
Pz,141.56911661358063,357.6110335494953,110.60464655096415,115.12056015988006,185.62864260109822,
T8,427.1645397736036,500.8555643084908,313.8885212787734,180.72697824046227,496.78981939549163,
AF4,249.00770950702477,130.14457741131184,245.62016495867954,287.85080524991025,395.90938241711564,
AF3,432.45513870273317,325.6071170537559,319.1877180786475,229.33406464550157,378.3561629276616,
T7,240.3429381914201,408.48946002018573,487.2645238957153,257.9117535054135,299.71251052026616,
