Channel , Theta ,Alpha ,Low beta ,High beta , Gamma 
AF3,380.2205208873195,465.1327554364623,406.5375167449512,385.4036736577177,265.09875359925184,
T7,237.82064126571672,378.94198730908056,521.6551179805651,254.92279401124256,402.12226352666215,
Pz,167.9206576840358,196.9414717648804,197.21932893244798,229.82172035811982,207.6477772101869,
T8,748.5946191266238,484.9894826484541,312.95301123299055,370.0226558975032,226.89469678552845,
AF4,680.7990789359424,434.88641721354077,496.2858459627311,317.3442134643308,305.34777892457663,
AF3,380.2205208873195,465.1327554364623,406.5375167449512,385.4036736577177,265.09875359925184,
T7,237.82064126571672,378.94198730908056,521.6551179805651,254.92279401124256,402.12226352666215,
Pz,167.9206576840358,196.9414717648804,197.21932893244798,229.82172035811982,207.6477772101869,
T8,748.5946191266238,484.9894826484541,312.95301123299055,370.0226558975032,226.89469678552845,
AF4,680.7990789359424,434.88641721354077,496.2858459627311,317.3442134643308,305.34777892457663,
AF3,380.2205208873195,465.1327554364623,406.5375167449512,385.4036736577177,265.09875359925184,
T7,237.82064126571672,378.94198730908056,521.6551179805651,254.92279401124256,402.12226352666215,
Pz,167.9206576840358,196.9414717648804,197.21932893244798,229.82172035811982,207.6477772101869,
T8,748.5946191266238,484.9894826484541,312.95301123299055,370.0226558975032,226.89469678552845,
AF4,680.7990789359424,434.88641721354077,496.2858459627311,317.3442134643308,305.34777892457663,
AF3,380.2205208873195,465.1327554364623,406.5375167449512,385.4036736577177,265.09875359925184,
T7,237.82064126571672,378.94198730908056,521.6551179805651,254.92279401124256,402.12226352666215,
Pz,167.9206576840358,196.9414717648804,197.21932893244798,229.82172035811982,207.6477772101869,
T8,748.5946191266238,484.9894826484541,312.95301123299055,370.0226558975032,226.89469678552845,
AF4,680.7990789359424,434.88641721354077,496.2858459627311,317.3442134643308,305.34777892457663,
AF3,380.2205208873195,465.1327554364623,406.5375167449512,385.4036736577177,265.09875359925184,
T7,237.82064126571672,378.94198730908056,521.6551179805651,254.92279401124256,402.12226352666215,
Pz,167.9206576840358,196.9414717648804,197.21932893244798,229.82172035811982,207.6477772101869,
T8,748.5946191266238,484.9894826484541,312.95301123299055,370.0226558975032,226.89469678552845,
AF4,680.7990789359424,434.88641721354077,496.2858459627311,317.3442134643308,305.34777892457663,
AF3,380.2205208873195,465.1327554364623,406.5375167449512,385.4036736577177,265.09875359925184,
T7,237.82064126571672,378.94198730908056,521.6551179805651,254.92279401124256,402.12226352666215,
Pz,167.9206576840358,196.9414717648804,197.21932893244798,229.82172035811982,207.6477772101869,
T8,748.5946191266238,484.9894826484541,312.95301123299055,370.0226558975032,226.89469678552845,
AF4,680.7990789359424,434.88641721354077,496.2858459627311,317.3442134643308,305.34777892457663,
AF3,380.2205208873195,465.1327554364623,406.5375167449512,385.4036736577177,265.09875359925184,
T7,237.82064126571672,378.94198730908056,521.6551179805651,254.92279401124256,402.12226352666215,
Pz,167.9206576840358,196.9414717648804,197.21932893244798,229.82172035811982,207.6477772101869,
T8,748.5946191266238,484.9894826484541,312.95301123299055,370.0226558975032,226.89469678552845,
AF4,680.7990789359424,434.88641721354077,496.2858459627311,317.3442134643308,305.34777892457663,
AF3,380.2205208873195,465.1327554364623,406.5375167449512,385.4036736577177,265.09875359925184,
T7,237.82064126571672,378.94198730908056,521.6551179805651,254.92279401124256,402.12226352666215,
Pz,167.9206576840358,196.9414717648804,197.21932893244798,229.82172035811982,207.6477772101869,
T8,748.5946191266238,484.9894826484541,312.95301123299055,370.0226558975032,226.89469678552845,
AF4,680.7990789359424,434.88641721354077,496.2858459627311,317.3442134643308,305.34777892457663,
AF3,380.2205208873195,465.1327554364623,406.5375167449512,385.4036736577177,265.09875359925184,
T7,237.82064126571672,378.94198730908056,521.6551179805651,254.92279401124256,402.12226352666215,
Pz,167.9206576840358,196.9414717648804,197.21932893244798,229.82172035811982,207.6477772101869,
T8,748.5946191266238,484.9894826484541,312.95301123299055,370.0226558975032,226.89469678552845,
AF4,680.7990789359424,434.88641721354077,496.2858459627311,317.3442134643308,305.34777892457663,
AF3,380.2205208873195,465.1327554364623,406.5375167449512,385.4036736577177,265.09875359925184,
T7,237.82064126571672,378.94198730908056,521.6551179805651,254.92279401124256,402.12226352666215,
Pz,167.9206576840358,196.9414717648804,197.21932893244798,229.82172035811982,207.6477772101869,
T8,748.5946191266238,484.9894826484541,312.95301123299055,370.0226558975032,226.89469678552845,
AF4,680.7990789359424,434.88641721354077,496.2858459627311,317.3442134643308,305.34777892457663,
AF3,380.2205208873195,465.1327554364623,406.5375167449512,385.4036736577177,265.09875359925184,
T7,237.82064126571672,378.94198730908056,521.6551179805651,254.92279401124256,402.12226352666215,
Pz,167.9206576840358,196.9414717648804,197.21932893244798,229.82172035811982,207.6477772101869,
T8,748.5946191266238,484.9894826484541,312.95301123299055,370.0226558975032,226.89469678552845,
AF4,680.7990789359424,434.88641721354077,496.2858459627311,317.3442134643308,305.34777892457663,
AF3,380.2205208873195,465.1327554364623,406.5375167449512,385.4036736577177,265.09875359925184,
T7,237.82064126571672,378.94198730908056,521.6551179805651,254.92279401124256,402.12226352666215,
Pz,167.9206576840358,196.9414717648804,197.21932893244798,229.82172035811982,207.6477772101869,
T8,748.5946191266238,484.9894826484541,312.95301123299055,370.0226558975032,226.89469678552845,
AF4,680.7990789359424,434.88641721354077,496.2858459627311,317.3442134643308,305.34777892457663,
AF3,380.2205208873195,465.1327554364623,406.5375167449512,385.4036736577177,265.09875359925184,
T7,237.82064126571672,378.94198730908056,521.6551179805651,254.92279401124256,402.12226352666215,
Pz,167.9206576840358,196.9414717648804,197.21932893244798,229.82172035811982,207.6477772101869,
T8,748.5946191266238,484.9894826484541,312.95301123299055,370.0226558975032,226.89469678552845,
AF4,680.7990789359424,434.88641721354077,496.2858459627311,317.3442134643308,305.34777892457663,
AF3,380.2205208873195,465.1327554364623,406.5375167449512,385.4036736577177,265.09875359925184,
T7,237.82064126571672,378.94198730908056,521.6551179805651,254.92279401124256,402.12226352666215,
Pz,167.9206576840358,196.9414717648804,197.21932893244798,229.82172035811982,207.6477772101869,
T8,748.5946191266238,484.9894826484541,312.95301123299055,370.0226558975032,226.89469678552845,
AF4,680.7990789359424,434.88641721354077,496.2858459627311,317.3442134643308,305.34777892457663,
AF3,380.2205208873195,465.1327554364623,406.5375167449512,385.4036736577177,265.09875359925184,
T7,237.82064126571672,378.94198730908056,521.6551179805651,254.92279401124256,402.12226352666215,
Pz,167.9206576840358,196.9414717648804,197.21932893244798,229.82172035811982,207.6477772101869,
T8,748.5946191266238,484.9894826484541,312.95301123299055,370.0226558975032,226.89469678552845,
AF4,680.7990789359424,434.88641721354077,496.2858459627311,317.3442134643308,305.34777892457663,
AF3,380.2205208873195,465.1327554364623,406.5375167449512,385.4036736577177,265.09875359925184,
T7,237.82064126571672,378.94198730908056,521.6551179805651,254.92279401124256,402.12226352666215,
Pz,167.9206576840358,196.9414717648804,197.21932893244798,229.82172035811982,207.6477772101869,
T8,748.5946191266238,484.9894826484541,312.95301123299055,370.0226558975032,226.89469678552845,
AF4,680.7990789359424,434.88641721354077,496.2858459627311,317.3442134643308,305.34777892457663,
AF3,380.2205208873195,465.1327554364623,406.5375167449512,385.4036736577177,265.09875359925184,
T7,237.82064126571672,378.94198730908056,521.6551179805651,254.92279401124256,402.12226352666215,
Pz,167.9206576840358,196.9414717648804,197.21932893244798,229.82172035811982,207.6477772101869,
T8,748.5946191266238,484.9894826484541,312.95301123299055,370.0226558975032,226.89469678552845,
