Channel , Theta ,Alpha ,Low beta ,High beta , Gamma 
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
T7,330.14150333577624,357.97826757620646,406.5516664520668,427.63822640050967,466.55974056322805,
Pz,91.33822358110518,107.15027157003675,55.84330098523884,89.47597821449408,249.70778639795785,
T8,981.3690954380161,228.5601754350872,501.8713455772534,293.8743573990064,338.4014096420833,
AF4,469.75296784127295,504.7981008615923,177.3789900226012,190.7237420521464,432.9930830981885,
AF3,196.68528853164116,368.2367687675815,357.5767063253688,488.59321378614743,515.1120316940459,
