Channel , Theta ,Alpha ,Low beta ,High beta , Gamma 
AF3,366.7239980927538,227.7488551674189,158.66029113188202,218.61282897060946,296.9281410264785,
T7,493.45158738788655,260.0842163025128,141.91927287649384,288.2037587224849,395.6477865561369,
Pz,137.52940367692355,174.73116335646796,111.05671363552666,117.60690268795935,142.45521057601965,
T8,507.4129592341352,338.66659702210575,217.2150276878384,308.01269024952575,312.99298349318997,
AF4,156.05193529601468,200.64007620157136,205.48047052049753,351.4052942275882,257.7888545720954,
AF3,366.7239980927538,227.7488551674189,158.66029113188202,218.61282897060946,296.9281410264785,
T7,493.45158738788655,260.0842163025128,141.91927287649384,288.2037587224849,395.6477865561369,
Pz,137.52940367692355,174.73116335646796,111.05671363552666,117.60690268795935,142.45521057601965,
T8,507.4129592341352,338.66659702210575,217.2150276878384,308.01269024952575,312.99298349318997,
AF4,156.05193529601468,200.64007620157136,205.48047052049753,351.4052942275882,257.7888545720954,
AF3,366.7239980927538,227.7488551674189,158.66029113188202,218.61282897060946,296.9281410264785,
T7,493.45158738788655,260.0842163025128,141.91927287649384,288.2037587224849,395.6477865561369,
Pz,137.52940367692355,174.73116335646796,111.05671363552666,117.60690268795935,142.45521057601965,
T8,507.4129592341352,338.66659702210575,217.2150276878384,308.01269024952575,312.99298349318997,
AF4,156.05193529601468,200.64007620157136,205.48047052049753,351.4052942275882,257.7888545720954,
AF3,366.7239980927538,227.7488551674189,158.66029113188202,218.61282897060946,296.9281410264785,
T7,493.45158738788655,260.0842163025128,141.91927287649384,288.2037587224849,395.6477865561369,
Pz,137.52940367692355,174.73116335646796,111.05671363552666,117.60690268795935,142.45521057601965,
T8,507.4129592341352,338.66659702210575,217.2150276878384,308.01269024952575,312.99298349318997,
AF4,156.05193529601468,200.64007620157136,205.48047052049753,351.4052942275882,257.7888545720954,
AF3,366.7239980927538,227.7488551674189,158.66029113188202,218.61282897060946,296.9281410264785,
T7,493.45158738788655,260.0842163025128,141.91927287649384,288.2037587224849,395.6477865561369,
Pz,137.52940367692355,174.73116335646796,111.05671363552666,117.60690268795935,142.45521057601965,
T8,507.4129592341352,338.66659702210575,217.2150276878384,308.01269024952575,312.99298349318997,
AF4,156.05193529601468,200.64007620157136,205.48047052049753,351.4052942275882,257.7888545720954,
AF3,366.7239980927538,227.7488551674189,158.66029113188202,218.61282897060946,296.9281410264785,
T7,493.45158738788655,260.0842163025128,141.91927287649384,288.2037587224849,395.6477865561369,
Pz,137.52940367692355,174.73116335646796,111.05671363552666,117.60690268795935,142.45521057601965,
T8,507.4129592341352,338.66659702210575,217.2150276878384,308.01269024952575,312.99298349318997,
AF4,156.05193529601468,200.64007620157136,205.48047052049753,351.4052942275882,257.7888545720954,
AF3,366.7239980927538,227.7488551674189,158.66029113188202,218.61282897060946,296.9281410264785,
T7,493.45158738788655,260.0842163025128,141.91927287649384,288.2037587224849,395.6477865561369,
Pz,137.52940367692355,174.73116335646796,111.05671363552666,117.60690268795935,142.45521057601965,
T8,507.4129592341352,338.66659702210575,217.2150276878384,308.01269024952575,312.99298349318997,
AF4,156.05193529601468,200.64007620157136,205.48047052049753,351.4052942275882,257.7888545720954,
AF3,366.7239980927538,227.7488551674189,158.66029113188202,218.61282897060946,296.9281410264785,
T7,493.45158738788655,260.0842163025128,141.91927287649384,288.2037587224849,395.6477865561369,
