Channel , Theta ,Alpha ,Low beta ,High beta , Gamma 
AF3,303.3478119044311,55.37686141150828,24.118908454629622,10.216894064324988,18.43248030987579,
T7,213.6207344966649,106.94177784416638,79.47383310531553,71.70693886537534,104.62028281758538,
Pz,216.61641267217604,244.53370556164353,131.336118870795,209.9230425487129,124.231220468258,
T8,268.63036443770653,142.95782617481166,229.19122843609728,158.5062126115699,184.30416294138118,
AF4,175.18295868743905,64.90226351873159,52.93266484092058,12.222639369856921,16.208335534716703,
AF3,303.3478119044311,55.37686141150828,24.118908454629622,10.216894064324988,18.43248030987579,
T7,213.6207344966649,106.94177784416638,79.47383310531553,71.70693886537534,104.62028281758538,
Pz,216.61641267217604,244.53370556164353,131.336118870795,209.9230425487129,124.231220468258,
T8,268.63036443770653,142.95782617481166,229.19122843609728,158.5062126115699,184.30416294138118,
AF4,175.18295868743905,64.90226351873159,52.93266484092058,12.222639369856921,16.208335534716703,
AF3,303.3478119044311,55.37686141150828,24.118908454629622,10.216894064324988,18.43248030987579,
T7,213.6207344966649,106.94177784416638,79.47383310531553,71.70693886537534,104.62028281758538,
Pz,216.61641267217604,244.53370556164353,131.336118870795,209.9230425487129,124.231220468258,
T8,268.63036443770653,142.95782617481166,229.19122843609728,158.5062126115699,184.30416294138118,
AF4,175.18295868743905,64.90226351873159,52.93266484092058,12.222639369856921,16.208335534716703,
AF3,303.3478119044311,55.37686141150828,24.118908454629622,10.216894064324988,18.43248030987579,
T7,213.6207344966649,106.94177784416638,79.47383310531553,71.70693886537534,104.62028281758538,
Pz,216.61641267217604,244.53370556164353,131.336118870795,209.9230425487129,124.231220468258,
T8,268.63036443770653,142.95782617481166,229.19122843609728,158.5062126115699,184.30416294138118,
AF4,175.18295868743905,64.90226351873159,52.93266484092058,12.222639369856921,16.208335534716703,
AF3,303.3478119044311,55.37686141150828,24.118908454629622,10.216894064324988,18.43248030987579,
T7,213.6207344966649,106.94177784416638,79.47383310531553,71.70693886537534,104.62028281758538,
Pz,216.61641267217604,244.53370556164353,131.336118870795,209.9230425487129,124.231220468258,
T8,268.63036443770653,142.95782617481166,229.19122843609728,158.5062126115699,184.30416294138118,
AF4,175.18295868743905,64.90226351873159,52.93266484092058,12.222639369856921,16.208335534716703,
AF3,303.3478119044311,55.37686141150828,24.118908454629622,10.216894064324988,18.43248030987579,
T7,213.6207344966649,106.94177784416638,79.47383310531553,71.70693886537534,104.62028281758538,
Pz,216.61641267217604,244.53370556164353,131.336118870795,209.9230425487129,124.231220468258,
T8,268.63036443770653,142.95782617481166,229.19122843609728,158.5062126115699,184.30416294138118,
AF4,175.18295868743905,64.90226351873159,52.93266484092058,12.222639369856921,16.208335534716703,
AF3,303.3478119044311,55.37686141150828,24.118908454629622,10.216894064324988,18.43248030987579,
T7,213.6207344966649,106.94177784416638,79.47383310531553,71.70693886537534,104.62028281758538,
Pz,216.61641267217604,244.53370556164353,131.336118870795,209.9230425487129,124.231220468258,
T8,268.63036443770653,142.95782617481166,229.19122843609728,158.5062126115699,184.30416294138118,
AF4,175.18295868743905,64.90226351873159,52.93266484092058,12.222639369856921,16.208335534716703,
AF3,303.3478119044311,55.37686141150828,24.118908454629622,10.216894064324988,18.43248030987579,
T7,213.6207344966649,106.94177784416638,79.47383310531553,71.70693886537534,104.62028281758538,
Pz,216.61641267217604,244.53370556164353,131.336118870795,209.9230425487129,124.231220468258,
T8,268.63036443770653,142.95782617481166,229.19122843609728,158.5062126115699,184.30416294138118,
AF4,175.18295868743905,64.90226351873159,52.93266484092058,12.222639369856921,16.208335534716703,
AF3,303.3478119044311,55.37686141150828,24.118908454629622,10.216894064324988,18.43248030987579,
T7,213.6207344966649,106.94177784416638,79.47383310531553,71.70693886537534,104.62028281758538,
Pz,216.61641267217604,244.53370556164353,131.336118870795,209.9230425487129,124.231220468258,
T8,268.63036443770653,142.95782617481166,229.19122843609728,158.5062126115699,184.30416294138118,
AF4,175.18295868743905,64.90226351873159,52.93266484092058,12.222639369856921,16.208335534716703,
AF3,303.3478119044311,55.37686141150828,24.118908454629622,10.216894064324988,18.43248030987579,
T7,213.6207344966649,106.94177784416638,79.47383310531553,71.70693886537534,104.62028281758538,
Pz,216.61641267217604,244.53370556164353,131.336118870795,209.9230425487129,124.231220468258,
T8,268.63036443770653,142.95782617481166,229.19122843609728,158.5062126115699,184.30416294138118,
AF4,175.18295868743905,64.90226351873159,52.93266484092058,12.222639369856921,16.208335534716703,
